,SALES_DATE,predicted,predicted_30,predicted_45,predicted_60,predicted_90,predicted_max,Encoded_SKU_ID
3,2022-08-04,0.0,1.0,1.4500000000000002,0.45,1.0,1.0,434
4,2022-08-05,1.0,1.0,1.0,0.0,1.0,2.0,434
5,2022-08-06,1.0,1.0,0.45,1.0,3.0,0.45,434
6,2022-08-07,-0.45,1.4500000000000002,1.0,1.0,5.0,4.0,434
0,2022-08-01,2.0,2.0,1.0,1.0,1.0,1.0,298
1,2022-08-02,0.0,0.0,0.45,2.0,1.0,0.55,298
2,2022-08-03,0.0,3.0,1.0,1.0,1.0,1.0,298
3,2022-08-04,2.0,4.0,2.0,1.0,2.0,1.0,298
4,2022-08-05,0.0,0.0,0.45,1.0,1.0,1.0,298
5,2022-08-06,0.0,2.5500000000000003,2.0,0.0,1.0,0.0,298
6,2022-08-07,2.0,4.0,1.0,1.0,1.0,2.0,298
0,2022-08-01,1.4500000000000002,1.4500000000000002,4.0,4.0,4.0,2.0,300
1,2022-08-02,2.0,1.0,1.0,1.0,1.0,1.0,300
2,2022-08-03,5.0,1.0,1.55,1.0,1.0,3.45,300
3,2022-08-04,2.0,2.45,1.4500000000000002,2.0,2.0,1.0,300
4,2022-08-05,2.0,1.0,7.0,4.0,2.0,2.0,300
5,2022-08-06,1.0,1.0,0.0,1.0,0.0,1.0,300
6,2022-08-07,2.0,4.55,2.0,2.45,6.0,1.0,300
0,2022-08-01,3.0,3.0,5.550000000000001,6.0,6.550000000000001,8.0,315
1,2022-08-02,3.0,3.0,4.0,4.0,3.5500000000000003,3.0,315
2,2022-08-03,1.0,1.0,4.0,7.0,3.0,4.0,315
3,2022-08-04,3.0,7.0,3.5500000000000003,3.0,6.0,4.55,315
4,2022-08-05,1.0,11.0,6.0,4.0,9.0,4.45,315
5,2022-08-06,2.45,6.0,3.0,7.0,9.55,7.0,315
6,2022-08-07,1.0,5.550000000000001,1.0,1.0,8.0,9.0,315
0,2022-08-01,,,,,,,290
1,2022-08-02,,,,,,,290
2,2022-08-03,,,,,,,290
3,2022-08-04,,,,,,,290
4,2022-08-05,,,,,,,290
5,2022-08-06,,,,,,,290
6,2022-08-07,,,,,,,290
0,2022-08-01,3.0,3.0,4.45,5.45,4.0,3.5500000000000003,168
1,2022-08-02,2.0,2.0,2.0,4.0,3.0,1.0,168
2,2022-08-03,3.0,5.0,5.45,7.0,3.0,4.0,168
3,2022-08-04,2.0,2.0,1.0,4.0,3.0,2.0,168
4,2022-08-05,2.0,1.0,5.45,3.0,0.0,1.4500000000000002,168
5,2022-08-06,2.0,1.0,2.0,1.4500000000000002,3.0,1.0,168
6,2022-08-07,3.0,2.5500000000000003,5.45,1.55,0.0,4.45,168
0,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,423
1,2022-08-02,0.0,0.0,0.0,0.0,0.0,0.0,423
2,2022-08-03,1.0,0.0,0.0,0.0,0.0,0.0,423
3,2022-08-04,0.0,0.0,0.0,1.0,0.0,0.0,423
4,2022-08-05,0.0,0.0,0.0,2.0,0.0,0.0,423
5,2022-08-06,0.0,1.0,0.0,0.0,0.0,0.0,423
6,2022-08-07,0.0,0.0,0.0,4.0,0.0,0.0,423
0,2022-08-01,1.55,1.55,1.0,2.0,2.0,2.0,1
1,2022-08-02,1.0,3.0,2.5500000000000003,2.0,1.0,2.0,1
2,2022-08-03,1.0,1.55,1.55,2.0,1.0,1.55,1
3,2022-08-04,1.0,1.0,2.5500000000000003,1.0,2.0,2.0,1
4,2022-08-05,0.0,1.55,2.0,3.0,1.55,3.45,1
5,2022-08-06,1.0,0.0,1.0,0.0,0.0,1.0,1
6,2022-08-07,1.0,1.0,0.55,1.0,2.0,1.55,1
0,2022-08-01,,,,,,,197
1,2022-08-02,,,,,,,197
2,2022-08-03,,,,,,,197
3,2022-08-04,,,,,,,197
4,2022-08-05,,,,,,,197
5,2022-08-06,,,,,,,197
6,2022-08-07,,,,,,,197
0,2022-08-01,3.0,2.5500000000000003,3.0,2.0,2.0,2.0,182
1,2022-08-02,3.0,3.0,2.0,5.550000000000001,4.0,5.0,182
2,2022-08-03,5.0,2.0,4.0,5.0,4.0,3.0,182
3,2022-08-04,0.0,7.0,2.0,4.0,4.45,3.0,182
4,2022-08-05,3.45,2.5500000000000003,2.5500000000000003,4.0,3.45,3.0,182
5,2022-08-06,3.45,2.0,1.0,6.0,5.0,3.0,182
6,2022-08-07,2.5500000000000003,3.0,2.0,2.0,7.0,2.0,182
0,2022-08-01,,,,,,,49
1,2022-08-02,,,,,,,49
2,2022-08-03,,,,,,,49
3,2022-08-04,,,,,,,49
4,2022-08-05,,,,,,,49
5,2022-08-06,,,,,,,49
6,2022-08-07,,,,,,,49
0,2022-08-01,3.0,3.0,2.0,3.0,1.4500000000000002,0.45,1
1,2022-08-02,2.0,0.45,3.0,2.0,2.0,2.0,1
2,2022-08-03,0.55,2.0,3.0,1.0,2.0,2.0,1
3,2022-08-04,0.0,2.0,1.0,3.0,0.0,1.0,1
4,2022-08-05,0.0,2.0,2.0,2.0,0.55,2.0,1
5,2022-08-06,2.0,1.0,1.55,0.0,3.0,3.0,1
6,2022-08-07,2.0,2.0,2.5500000000000003,1.4500000000000002,2.0,1.0,1
0,2022-08-01,0.0,0.0,0.0,0.0,1.0,2.0,100
1,2022-08-02,1.0,1.0,1.0,1.0,2.0,0.0,100
2,2022-08-03,0.0,1.55,2.0,0.0,0.0,0.0,100
3,2022-08-04,0.0,0.0,1.0,1.0,0.0,0.0,100
4,2022-08-05,0.0,1.0,1.0,0.0,0.0,0.0,100
5,2022-08-06,0.0,2.0,2.0,1.0,0.0,1.0,100
6,2022-08-07,0.0,0.0,1.0,2.0,0.0,0.0,100
0,2022-08-01,1.0,1.0,0.0,0.0,1.0,0.0,331
1,2022-08-02,0.0,0.0,1.0,1.0,0.55,0.45,331
2,2022-08-03,0.0,1.0,2.0,0.0,1.0,0.45,331
3,2022-08-04,1.0,0.0,0.0,0.0,2.0,0.45,331
4,2022-08-05,0.0,0.0,0.0,0.0,0.0,0.45,331
5,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0,331
6,2022-08-07,0.0,0.0,0.0,1.0,0.0,2.0,331
0,2022-08-01,5.0,4.55,3.0,5.550000000000001,7.0,2.0,169
1,2022-08-02,3.0,3.0,6.0,8.0,4.45,1.0,169
2,2022-08-03,5.0,3.0,4.0,4.0,3.45,5.550000000000001,169
3,2022-08-04,2.0,5.0,8.0,1.0,4.0,4.45,169
4,2022-08-05,4.55,3.0,8.0,10.0,7.450000000000001,2.0,169
5,2022-08-06,2.0,5.0,8.0,6.550000000000001,3.0,4.0,169
6,2022-08-07,4.55,3.0,3.0,7.0,4.45,6.0,169
0,2022-08-01,2.45,2.45,1.0,0.0,0.55,0.55,247
1,2022-08-02,0.0,0.0,1.0,0.0,0.0,0.0,247
2,2022-08-03,0.45,1.0,0.0,0.55,0.55,0.55,247
3,2022-08-04,2.45,1.0,1.0,1.0,0.55,1.0,247
4,2022-08-05,0.0,0.0,0.0,1.0,0.0,0.0,247
5,2022-08-06,0.0,0.0,1.0,0.0,0.55,0.0,247
6,2022-08-07,2.45,0.0,0.0,1.0,0.55,1.0,247
0,2022-08-01,0.0,0.0,0.0,0.0,1.0,1.0,284
1,2022-08-02,0.0,0.0,0.0,0.0,1.0,0.0,284
2,2022-08-03,0.0,1.0,0.0,0.0,0.0,1.0,284
3,2022-08-04,0.0,0.45,0.0,0.0,1.0,1.0,284
4,2022-08-05,0.45,0.0,0.0,0.0,1.0,0.0,284
5,2022-08-06,-1.0,0.0,0.0,0.0,0.0,2.0,284
6,2022-08-07,1.0,0.0,0.0,0.0,0.0,0.0,284
7,2022-08-01,,3.0,3.0,3.0,7.0,3.0,286
8,2022-08-02,,6.0,1.55,9.0,6.550000000000001,13.45,286
9,2022-08-03,,6.0,5.550000000000001,6.550000000000001,6.45,7.0,286
10,2022-08-04,,7.550000000000001,2.0,4.45,6.0,3.45,286
11,2022-08-05,,7.0,10.0,2.0,3.0,9.0,286
12,2022-08-06,,5.0,5.550000000000001,4.0,13.55,5.0,286
13,2022-08-07,,3.0,3.0,8.0,14.55,9.0,286
14,2022-08-01,,3.5500000000000003,16.0,6.0,3.0,3.0,287
15,2022-08-02,,3.5500000000000003,3.0,4.0,8.55,13.0,287
16,2022-08-03,,3.0,8.0,5.0,13.0,8.0,287
17,2022-08-04,,6.0,6.45,7.0,17.0,7.550000000000001,287
18,2022-08-05,,8.0,3.0,9.0,3.0,11.0,287
19,2022-08-06,,4.55,8.0,6.0,8.0,7.0,287
20,2022-08-07,,3.0,6.45,5.0,10.0,18.0,287
28,2022-08-01,2.0,6.0,5.550000000000001,1.0,1.0,0.0,291
29,2022-08-02,0.55,1.0,1.0,2.45,1.0,1.0,291
30,2022-08-03,1.55,1.0,-0.55,0.0,1.0,1.0,291
31,2022-08-04,6.0,-0.55,1.4500000000000002,0.45,1.4500000000000002,1.0,291
32,2022-08-05,1.0,1.0,0.0,0.0,1.0,0.45,291
33,2022-08-06,0.0,6.0,2.0,0.45,0.0,1.55,291
34,2022-08-07,1.0,0.45,1.0,1.0,0.0,1.0,291
35,2022-08-01,0.45,1.0,0.0,1.0,1.0,2.0,292
36,2022-08-02,1.0,1.55,1.0,2.0,1.0,1.0,292
37,2022-08-03,0.55,0.55,0.0,1.0,0.0,0.0,292
38,2022-08-04,1.55,0.0,1.0,1.0,0.0,0.0,292
39,2022-08-05,2.0,2.5500000000000003,0.0,0.45,1.0,0.0,292
40,2022-08-06,0.45,2.0,0.0,2.0,2.0,0.0,292
41,2022-08-07,0.0,0.55,3.0,1.4500000000000002,2.0,0.0,292
42,2022-08-01,1.0,2.0,2.0,3.0,5.0,4.0,294
43,2022-08-02,3.0,4.0,0.0,0.0,2.0,3.0,294
44,2022-08-03,1.0,0.0,1.55,1.0,5.0,2.0,294
45,2022-08-04,3.0,0.0,5.0,2.0,1.0,1.0,294
46,2022-08-05,1.0,3.0,0.0,5.0,4.0,2.0,294
47,2022-08-06,3.0,1.4500000000000002,0.0,1.0,1.0,1.0,294
48,2022-08-07,1.0,1.0,1.55,1.0,0.45,0.45,294
49,2022-08-01,1.55,3.0,2.0,3.0,2.0,3.45,296
50,2022-08-02,0.0,2.0,2.45,2.0,1.0,3.45,296
51,2022-08-03,3.0,2.5500000000000003,1.0,0.0,2.45,0.45,296
52,2022-08-04,1.0,2.0,4.0,3.0,2.0,4.0,296
53,2022-08-05,1.0,0.0,2.5500000000000003,2.45,0.55,2.0,296
54,2022-08-06,1.0,2.0,1.0,0.55,4.0,1.55,296
55,2022-08-07,1.0,2.0,3.0,3.45,3.0,3.5500000000000003,296
63,2022-08-01,,,,,,,299
64,2022-08-02,,,,,,,299
65,2022-08-03,,,,,,,299
66,2022-08-04,,,,,,,299
67,2022-08-05,,,,,,,299
68,2022-08-06,,,,,,,299
69,2022-08-07,,,,,,,299
77,2022-08-01,1.0,0.0,5.0,2.0,0.55,1.0,301
78,2022-08-02,0.0,2.0,0.0,1.0,5.0,1.55,301
79,2022-08-03,0.0,1.0,5.0,1.0,3.0,1.0,301
80,2022-08-04,0.0,0.45,0.0,1.55,0.45,2.0,301
81,2022-08-05,0.45,5.0,0.0,3.0,1.0,1.0,301
82,2022-08-06,0.45,0.0,2.0,0.0,1.0,2.45,301
83,2022-08-07,0.0,4.0,3.45,5.0,1.0,1.0,301
84,2022-08-01,2.0,2.0,2.45,2.45,3.0,2.0,303
85,2022-08-02,1.0,4.45,0.0,2.0,5.0,1.0,303
86,2022-08-03,2.0,1.55,2.45,3.0,13.0,2.0,303
87,2022-08-04,1.55,1.0,2.45,9.0,2.45,2.0,303
88,2022-08-05,2.0,2.45,0.0,3.0,3.45,1.0,303
89,2022-08-06,1.55,4.55,2.0,1.55,2.5500000000000003,1.0,303
90,2022-08-07,2.0,0.0,2.45,2.45,4.0,1.55,303
91,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,304
92,2022-08-02,0.0,0.0,0.0,0.0,0.0,0.0,304
93,2022-08-03,6.0,0.0,0.0,0.0,0.0,0.0,304
94,2022-08-04,1.0,0.0,3.0,0.0,0.0,3.0,304
95,2022-08-05,1.0,0.0,0.55,0.0,0.0,1.0,304
96,2022-08-06,0.55,0.0,0.0,0.0,0.0,0.0,304
97,2022-08-07,6.0,0.0,0.0,0.0,0.0,0.0,304
98,2022-08-01,1.0,0.0,1.0,1.0,1.0,1.0,306
99,2022-08-02,1.4500000000000002,2.0,0.0,0.0,0.0,0.0,306
100,2022-08-03,4.0,3.5500000000000003,1.0,1.0,1.0,0.0,306
101,2022-08-04,1.0,3.0,1.0,0.0,0.0,1.0,306
102,2022-08-05,0.0,1.55,0.0,1.0,0.0,0.0,306
103,2022-08-06,3.0,0.0,1.0,0.55,1.0,1.0,306
104,2022-08-07,0.45,2.0,1.0,1.0,0.0,4.0,306
112,2022-08-01,1.0,1.0,1.0,1.0,2.0,2.0,309
113,2022-08-02,1.0,6.0,1.0,1.0,1.0,1.4500000000000002,309
114,2022-08-03,1.0,2.0,2.0,3.0,6.0,3.0,309
115,2022-08-04,1.4500000000000002,1.0,1.4500000000000002,2.0,1.0,1.4500000000000002,309
116,2022-08-05,1.4500000000000002,2.0,3.0,1.0,2.0,1.0,309
117,2022-08-06,1.0,0.45,1.55,1.0,0.0,4.0,309
118,2022-08-07,1.0,1.0,1.0,2.0,1.0,1.0,309
119,2022-08-01,1.55,2.0,2.0,2.0,3.0,0.0,311
120,2022-08-02,0.55,0.0,3.0,0.45,2.0,2.0,311
121,2022-08-03,4.45,0.0,2.0,2.45,0.55,2.5500000000000003,311
122,2022-08-04,1.0,2.0,3.0,0.0,2.0,2.0,311
123,2022-08-05,5.0,1.4500000000000002,1.55,3.0,2.0,2.0,311
124,2022-08-06,1.0,1.0,2.0,1.0,2.0,1.0,311
125,2022-08-07,0.0,5.0,2.0,1.0,2.0,2.0,311
133,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,314
134,2022-08-02,0.0,0.0,0.0,0.0,0.0,1.0,314
135,2022-08-03,0.0,0.0,0.0,0.0,0.0,1.0,314
136,2022-08-04,0.0,1.0,0.0,0.0,0.0,0.0,314
137,2022-08-05,0.0,0.0,0.0,0.0,0.0,0.0,314
138,2022-08-06,0.0,0.45,0.0,0.0,0.0,0.0,314
139,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0,314
147,2022-08-01,0.0,0.0,2.0,0.0,0.0,0.0,316
148,2022-08-02,0.0,2.0,0.0,0.0,0.0,0.0,316
149,2022-08-03,0.0,0.0,1.0,0.0,0.55,1.0,316
150,2022-08-04,0.0,2.5500000000000003,1.0,0.0,0.0,0.0,316
151,2022-08-05,0.0,1.0,1.0,0.0,0.0,0.0,316
152,2022-08-06,0.0,0.0,0.0,0.0,1.0,0.0,316
153,2022-08-07,0.0,0.0,1.0,0.0,0.0,0.0,316
154,2022-08-01,1.0,0.0,0.0,1.0,2.0,2.0,318
155,2022-08-02,2.0,0.0,2.0,3.0,1.0,1.0,318
156,2022-08-03,0.0,0.55,1.0,0.0,0.55,1.0,318
157,2022-08-04,1.0,0.0,1.0,0.0,0.0,0.0,318
158,2022-08-05,0.0,0.0,1.0,2.0,0.0,0.0,318
159,2022-08-06,2.0,0.0,1.0,0.0,0.0,1.0,318
160,2022-08-07,0.0,0.0,1.0,0.0,0.0,0.0,318
161,2022-08-01,7.0,7.0,6.0,5.0,5.0,5.0,319
162,2022-08-02,6.0,0.0,6.0,4.55,8.0,7.550000000000001,319
163,2022-08-03,6.0,4.0,7.0,5.0,1.4500000000000002,6.550000000000001,319
164,2022-08-04,7.0,7.0,7.0,5.0,6.45,8.55,319
165,2022-08-05,8.0,5.0,4.0,3.5500000000000003,5.550000000000001,4.0,319
166,2022-08-06,0.0,6.45,5.0,8.0,5.45,6.45,319
167,2022-08-07,5.0,4.0,2.45,3.5500000000000003,5.0,7.0,319
168,2022-08-01,1.0,0.0,1.0,0.55,0.45,0.0,320
169,2022-08-02,-0.45,0.0,1.0,1.0,3.0,0.0,320
170,2022-08-03,0.0,0.45,2.0,1.0,0.45,1.0,320
171,2022-08-04,0.0,0.0,0.0,0.55,3.0,0.0,320
172,2022-08-05,0.0,1.0,0.0,0.0,1.55,2.45,320
173,2022-08-06,4.0,1.0,1.0,0.45,1.0,1.0,320
174,2022-08-07,2.0,3.0,0.45,1.0,2.0,0.45,320
0,2022-08-01,0.0,4.0,2.45,0.0,5.0,5.0,119
1,2022-08-02,1.0,1.0,0.45,0.55,1.4500000000000002,1.0,119
2,2022-08-03,4.0,0.55,1.0,1.0,0.0,0.55,119
3,2022-08-04,0.0,0.45,4.0,1.0,0.0,1.0,119
4,2022-08-05,1.0,0.0,0.0,0.45,1.0,1.0,119
5,2022-08-06,4.0,1.0,2.45,0.45,0.0,2.0,119
6,2022-08-07,0.0,1.4500000000000002,0.0,0.55,1.0,3.0,119
0,2022-08-01,4.0,4.0,0.0,1.55,1.0,2.0,222
1,2022-08-02,2.0,3.0,2.0,2.0,3.0,3.5500000000000003,222
2,2022-08-03,1.0,2.0,4.0,5.0,1.0,3.5500000000000003,222
3,2022-08-04,3.0,2.0,1.0,0.0,3.45,4.0,222
4,2022-08-05,2.0,0.0,4.0,4.0,2.0,1.0,222
5,2022-08-06,4.0,4.0,1.0,1.0,2.5500000000000003,3.0,222
6,2022-08-07,2.0,1.0,4.0,3.0,1.55,2.0,222
0,2022-08-01,2.0,2.5500000000000003,3.0,3.5500000000000003,4.0,1.0,94
1,2022-08-02,2.0,1.55,2.0,3.0,1.55,3.0,94
2,2022-08-03,1.0,3.5500000000000003,0.45,0.55,3.0,3.0,94
3,2022-08-04,1.0,0.0,0.45,3.45,1.0,2.0,94
4,2022-08-05,2.5500000000000003,1.0,2.0,1.0,2.0,4.0,94
5,2022-08-06,2.0,0.55,2.5500000000000003,1.0,2.0,3.0,94
6,2022-08-07,1.0,2.0,0.0,4.0,1.0,3.5500000000000003,94
0,2022-08-01,3.0,3.0,4.55,10.0,10.0,2.0,183
1,2022-08-02,11.0,10.0,4.0,3.5500000000000003,2.0,2.0,183
2,2022-08-03,2.0,4.0,4.0,6.0,5.0,0.55,183
3,2022-08-04,6.0,6.0,4.0,3.0,1.4500000000000002,2.0,183
4,2022-08-05,3.0,2.0,3.5500000000000003,2.0,10.0,1.55,183
5,2022-08-06,6.0,6.0,3.0,2.0,3.0,6.0,183
6,2022-08-07,2.0,2.0,2.5500000000000003,6.0,5.0,1.0,183
0,2022-08-01,0.0,0.0,-0.45,3.0,5.0,6.0,93
1,2022-08-02,1.0,2.0,3.0,0.0,3.0,1.55,93
2,2022-08-03,0.0,0.0,2.0,6.0,1.0,2.45,93
3,2022-08-04,1.0,1.4500000000000002,0.0,2.0,1.0,2.0,93
4,2022-08-05,0.0,0.0,0.0,6.0,3.0,2.0,93
5,2022-08-06,-0.55,2.0,1.4500000000000002,5.0,2.0,3.0,93
6,2022-08-07,1.0,1.0,3.0,1.0,1.0,3.0,93
0,2022-08-01,,,,,,,469
1,2022-08-02,,,,,,,469
2,2022-08-03,,,,,,,469
3,2022-08-04,,,,,,,469
4,2022-08-05,,,,,,,469
5,2022-08-06,,,,,,,469
6,2022-08-07,,,,,,,469
7,2022-08-01,,,,,,,470
8,2022-08-02,,,,,,,470
9,2022-08-03,,,,,,,470
10,2022-08-04,,,,,,,470
11,2022-08-05,,,,,,,470
12,2022-08-06,,,,,,,470
13,2022-08-07,,,,,,,470
